Nev,URL
more..,https://www.sequencer.de/syns/moog/SonicVI_SonicSix_Sonic6.html
more..,https://www.sequencer.de/syns/moog/Micromoog.html
more..,https://www.sequencer.de/syns/moog/Multimoog.html
more..,https://www.sequencer.de/syns/moog/Minitmoog.html
more..,https://www.sequencer.de/syns/moog/Satellite.html
more..,https://www.sequencer.de/syns/moog/Taurus2.html
more..,https://www.sequencer.de/syns/moog/Taurus.html
more..,https://www.sequencer.de/syns/moog/cdx.html
more..,https://www.sequencer.de/syns/moog/Modular.html
more..,https://www.sequencer.de/syns/moog/LittlePhatty.html
more..,https://www.sequencer.de/syns/moog/MinimoogVoyagerOS_OldSchool.html
more..,https://www.sequencer.de/syns/moog/SlimPhatty.html
more..,https://www.sequencer.de/syns/moog/Taurus3_TaurusIII.html
more..,https://www.sequencer.de/syns/moog/MinimoogVoyagerXL.html
more..,https://www.sequencer.de/syns/moog/Minitaur.html
more..,https://www.sequencer.de/syns/moog/SubPhatty.html
more..,https://www.sequencer.de/syns/moog/Sub37.html
more..,https://www.sequencer.de/syns/moog/Werkstatt.html
more..,https://www.sequencer.de/syns/moog/Mother32.html
more..,https://www.sequencer.de/syns/multivox/MultivoxSQ01_FirstmanSQ01.html
more..,https://www.sequencer.de/syns/murom/Aelita.html
more..,https://www.sequencer.de/syns/musonics/SonicV_SonicFive_Sonic5.html
more..,https://www.sequencer.de/syns/novation/BassStation_BassStationRack.html
more..,https://www.sequencer.de/syns/novation/SuperBassStation.html
more..,https://www.sequencer.de/syns/novation/BassStation2.html
more..,https://www.sequencer.de/syns/oberheim/SEM_SynthesizerExpanderModule.html
more..,https://www.sequencer.de/syns/oberheim/OB1_OBI.html
more..,https://www.sequencer.de/syns/octave/CatSRM.html
more..,https://www.sequencer.de/syns/octave/Kitten.html
more..,https://www.sequencer.de/syns/orgon/Enigiser.html
more..,https://www.sequencer.de/syns/powertran/Transcendent2000.html
more..,https://www.sequencer.de/syns/ppg/1020_1002.html
more..,https://www.sequencer.de/syns/ppg/1003_SonicCarrier.html
more..,https://www.sequencer.de/syns/reon/DriftboxR.html
more..,https://www.sequencer.de/syns/roland/SH5.html
more..,https://www.sequencer.de/syns/roland/SH2.html
more..,https://www.sequencer.de/syns/roland/SH09.html
more..,https://www.sequencer.de/syns/roland/SH1.html
more..,https://www.sequencer.de/syns/roland/SH101.html
more..,https://www.sequencer.de/syns/roland/SH7.html
more..,https://www.sequencer.de/syns/roland/SH3a.html
more..,https://www.sequencer.de/syns/roland/SH2000.html
more..,https://www.sequencer.de/syns/roland/SH1000.html
more..,https://www.sequencer.de/syns/roland/System700.html
more..,https://www.sequencer.de/syns/roland/Promars_MRS2.html
more..,https://www.sequencer.de/syns/roland/MC202.html
more..,https://www.sequencer.de/syns/roland/CMU810.html
more..,https://www.sequencer.de/syns/roland/TB303.html
more..,https://www.sequencer.de/syns/roland/System500.html
more..,https://www.sequencer.de/syns/rsf/Kobol_KobolII_Kobol2.html
more..,https://www.sequencer.de/syns/rsf/KobolKeyboard.html
more..,https://www.sequencer.de/syns/sequentialcircuits/ProOne_Pro1.html
more..,https://www.sequencer.de/syns/serge/Modular.html
more..,https://www.sequencer.de/syns/siel/Mono.html
more..,https://www.sequencer.de/syns/sms/Mars_Planet7_P7.html
more..,https://www.sequencer.de/syns/spectralaudio/Neptune2.html
more..,https://www.sequencer.de/syns/steinerparker/Synthacon.html
more..,https://www.sequencer.de/syns/steinerparker/Modular.html
more..,https://www.sequencer.de/syns/studioelectronics/ATC1_ATCX.html
more..,https://www.sequencer.de/syns/studioelectronics/SE1_SE1X.html
more..,https://www.sequencer.de/syns/studioelectronics/ATCXi.html
more..,https://www.sequencer.de/syns/studioelectronics/Boomstar3003_Boomstar4075_Boomstar5089.html
more..,https://www.sequencer.de/syns/studioelectronics/BoomstarSEM.html
more..,https://www.sequencer.de/syns/synton/Syrinx.html
more..,https://www.sequencer.de/syns/technics/sy1010.html
more..,https://www.sequencer.de/syns/technosaurus/Selector_Modular.html
more..,https://www.sequencer.de/syns/technosaurus/Microcon_Cyclodon_Microcon2.html
more..,https://www.sequencer.de/syns/teisco/110F.html
more..,https://www.sequencer.de/syns/teisco/SX400.html
more..,https://www.sequencer.de/syns/teisco/60F.html
more..,https://www.sequencer.de/syns/theis/Modular_TMSS.html
more..,https://www.sequencer.de/syns/tomoberheim/SEM_SynthesizerExpanderModule_SemPro.html
more..,https://www.sequencer.de/syns/vermona/MARS.html
more..,https://www.sequencer.de/syns/vermona/Synthesizer.html
more..,https://www.sequencer.de/syns/vermona/MonoLancet.html
more..,https://www.sequencer.de/syns/vermona/14.html
more..,https://www.sequencer.de/syns/waldorf/Pulse.html
more..,https://www.sequencer.de/syns/waldorf/Rocket.html
more..,https://www.sequencer.de/syns/wersi/BassSynthesizerAP6.html
more..,https://www.sequencer.de/syns/wersi/Wersimatic_CX1_CX2.html
more..,https://www.sequencer.de/syns/yamaha/CS30.html
more..,https://www.sequencer.de/syns/yamaha/CS15.html
more..,https://www.sequencer.de/syns/yamaha/CS10.html
more..,https://www.sequencer.de/syns/yamaha/CS5.html
more..,https://www.sequencer.de/syns/yamaha/CS01.html
more..,https://www.sequencer.de/syns/yamaha/CS30L.html
more..,https://www.sequencer.de/syns/yamaha/SY1_SY2.html
more..,https://www.sequencer.de/syns/yamaha/CS15D.html
more..,https://www.sequencer.de/syns/yamaha/CS40m.html
more..,https://www.sequencer.de/syns/yamaha/CS20m.html
more..,https://www.sequencer.de/syns/helmtronic/Challenger.html
more..,https://www.sequencer.de/syns/korg/Monotribe.html
more..,https://www.sequencer.de/syns/korg/Sigma.html
more..,https://www.sequencer.de/syns/lep/Leploop.html
more..,https://www.sequencer.de/syns/moog/ConcertmateMG1.html
more..,https://www.sequencer.de/syns/moog/Realistic.html
more..,https://www.sequencer.de/syns/oberheim/TwoVoice_TVS1_2Voice.html
