Kategoria,Hangszer_Nev,Oldalcim,URL
Digital,Nordlead3,Clavia Nord Lead 3 Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordLead3.html
Digital,Nordleada1 A1R,"Clavia Nord Lead A1, A1R Digital Synthesizer",https://www.sequencer.de/syns/clavia/NordLeadA1_A1R.html
Digital,System1200 Asb,"Creamware System 1200, ASB Digital Synthesizer",https://www.sequencer.de/syns/creamware/System1200_ASB.html
Digital,Neuron,Hartmann Neuron Digital Synthesizer,https://www.sequencer.de/syns/hartmann/Neuron.html
Digital,Radias,Korg Radias Digital Synthesizer modulation step sequencer,https://www.sequencer.de/syns/korg/Radias.html
Digital,Kaossilator,Korg Kaossilator Digital Synthesizer real time sequencer,https://www.sequencer.de/syns/korg/Kaossilator.html
Digital,Kingkorg,Korg King Korg Digital Synthesizer,https://www.sequencer.de/syns/korg/KingKorg.html
Sampler,K2000,Kurzweil K2000 Sampler workstation sequencer,https://www.sequencer.de/syns/kurzweil/K2000.html
Digital,K1000Sxa K1000Hxa K1000Pxa K1000Pxb,"Kurzweil K1000SXA, K1000HXA, K1000PXA, K1000PXB Digital Synthesizer",https://www.sequencer.de/syns/kurzweil/K1000SXA_K1000HXA_K1000PXA_K1000PXB.html
Digital,Quasar,Quasimidi Quasar Digital Synthesizer step sequencer,https://www.sequencer.de/syns/quasimidi/Quasar.html
Digital,Vsynthxt,Roland VSynth XT Digital Synthesizer modulation step sequencer,https://www.sequencer.de/syns/roland/VSynthXT.html
Digital,Jd800,Roland JD800 Digital Synthesizer,https://www.sequencer.de/syns/roland/JD800.html
Digital,Jd990,Roland JD990 Digital Synthesizer,https://www.sequencer.de/syns/roland/JD990.html
Sampler,S750 S770 S760,"Roland S750, S770, S760 Sampler",https://www.sequencer.de/syns/roland/S750_S770_S760.html
Digital,Vp550,Roland VP550 Digital Synthesizer,https://www.sequencer.de/syns/roland/VP550.html
Digital,Jx1,Roland JX1 Digital Synthesizer,https://www.sequencer.de/syns/roland/JX1.html
Sampler,Sp700,Roland SP700 Sampler,https://www.sequencer.de/syns/roland/SP700.html
Digital,Chameleon,Soundart Chameleon Digital Synthesizer,https://www.sequencer.de/syns/soundart/Chameleon.html
Digital,Sirius,Quasimidi Sirius Digital Synthesizer step sequencer,https://www.sequencer.de/syns/quasimidi/Sirius.html
Digital,Jv80 Jv880,"Roland JV80, JV880 Digital Synthesizer",https://www.sequencer.de/syns/roland/JV80_JV880.html
Digital,Vsynthgt,Roland VSynth GT Digital Synthesizer modulation step sequencer,https://www.sequencer.de/syns/roland/VSynthGT.html
Digital,Qy10,Yamaha QY10 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/QY10.html
Digital,Qy20 Qy22,"Yamaha QY20, QY22 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/QY20_QY22.html
Digital,D70,Roland D70 Digital Synthesizer,https://www.sequencer.de/syns/roland/D70.html
Digital,U220 U20,"Roland U220, U20 Digital Synthesizer",https://www.sequencer.de/syns/roland/U220_U20.html
Digital,Microwave2 Mw2,"Waldorf Microwave 2, MW2 Digital Synthesizer",https://www.sequencer.de/syns/waldorf/Microwave2_MW2.html
Digital,Microwavextk Microwavext,"Waldorf Microwave XTk , Microwave XT Digital Synthesizer",https://www.sequencer.de/syns/waldorf/MicrowaveXTk_MicrowaveXT.html
Digital,Sy85,Yamaha SY85 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/SY85.html
Sampler,Asr10 Eps16+,"Ensoniq ASR10, EPS16+ Sampler advanced sequencer",https://www.sequencer.de/syns/ensoniq/ASR10_EPS16+.html
Digital,U110,Roland U110 Digital Synthesizer,https://www.sequencer.de/syns/roland/U110.html
Digital,Virusc Indigo2 Kc Redback,"Access Virus C, Indigo 2, KC, Redback Digital Synthesizer",https://www.sequencer.de/syns/access/VirusC_Indigo2_KC_Redback.html
Digital,Virusrackxl,Access Virus Rack XL Digital Synthesizer,https://www.sequencer.de/syns/access/VirusRackXL.html
Sampler,S2800 S3000 S3200,"Akai S2800, S3000, S3200 Sampler",https://www.sequencer.de/syns/akai/S2800_S3000_S3200.html
Sampler,S2000,Akai S2000 Sampler,https://www.sequencer.de/syns/akai/S2000.html
Sampler,S3000Xl S3200Xl Cd3000Xl,"Akai S3000XL, S3200XL, CD3000XL Sampler",https://www.sequencer.de/syns/akai/S3000XL_S3200XL_CD3000XL.html
Modular,Origin,Arturia Origin Modular Synthesizer analog step sequencer,https://www.sequencer.de/syns/arturia/Origin.html
Digital,Gds Synergy,"Crumar GDS, Synergy Digital Synthesizer",https://www.sequencer.de/syns/crumar/GDS_Synergy.html
Digital,Morpheus,Emu Morpheus Digital Synthesizer,https://www.sequencer.de/syns/emu/Morpheus.html
Digital,Ultraproteus,Emu Ultra Proteus Digital Synthesizer,https://www.sequencer.de/syns/emu/UltraProteus.html
Sampler,Esi32,Emu ESI32 Digital Synthesizer,https://www.sequencer.de/syns/emu/ESI32.html
Digital,Proteusfx,Emu Proteus FX Digital Synthesizer,https://www.sequencer.de/syns/emu/ProteusFX.html
Digital,Ts10 Ts12,"Ensoniq TS10, TS12 Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/ensoniq/TS10_TS12.html
Digital,Zr76 Kt76 Kt88,"Ensoniq ZR76, KT76, KT88 Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/ensoniq/ZR76_KT76_KT88.html
